ID,Index,Questions,Models,Users,Notes,Category,Stage,Stage_minor,Sentences,type_info
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,"Lean Proteins: Include lean protein sources like chicken, turkey, fish, and plant-based proteins such as lentils and chickpeas.",<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,Protein has minimal impact on blood sugar and can help with satiety.,<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,"Manage Portion Sizes: Eating more than needed can lead to weight gain, which is a risk factor for developing diabetes.",<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,Being mindful of portion sizes can help manage calorie intake and blood sugar levels.,<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,Limit Sugary Foods and Drinks: Sugary drinks and snacks can cause rapid spikes in blood sugar.,<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,"Limiting these and opting for water, unsweetened teas, or coffee can help control your blood sugar levels.",<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,Regular Meals and Snacks: Eating at regular intervals can help maintain stable blood sugar levels throughout the day.,<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,"It’s often helpful to have a good balance of carbohydrates, protein, and fat in each meal.",<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,Implementing these dietary changes along with regular physical activity can significantly help manage prediabetes.,<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,It's also a good idea to work with a dietitian who can tailor dietary advice to your specific needs and help you develop a sustainable plan.,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,Managing prediabetes through dietary changes is crucial to prevent the progression to type 2 diabetes.,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Whole Grains: Incorporate whole grains like oats, quinoa, and brown rice, which have a lower glycemic index and help stabilize blood sugar levels.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Fruits and Vegetables: Aim for at least 3–5 servings of non-starchy vegetables daily, such as leafy greens, broccoli, and bell peppers.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,Fruits like berries and apples provide essential nutrients and fiber.,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Plant-Based Proteins: Beans, lentils, and tofu are excellent sources of protein and fiber, contributing to better blood sugar control.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Animal Proteins: Opt for skinless poultry, fish, and lean cuts of meat.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,Including fish twice a week is beneficial.,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Unsaturated Fats: Include sources like olive oil, avocados, nuts, and seeds to improve insulin sensitivity and promote satiety.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Limit Saturated and Trans Fats: Reduce intake of fried foods, pastries, and fatty cuts of meat to support heart health.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,•Carbohydrate Quality: Focus on complex carbohydrates with a low glycemic index to prevent rapid blood sugar spikes.,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Portion Control: Be mindful of portion sizes to avoid excessive calorie intake, which can affect blood sugar levels.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Avoid Sugary Drinks: Eliminate or significantly reduce consumption of sodas, sweetened teas, and fruit juices, as they can cause rapid increases in blood sugar.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Choose Water and Unsweetened Beverages: Opt for water, herbal teas, or black coffee without added sugars.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,Adopt a Balanced Dietary Pattern,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Mediterranean Diet: This diet emphasizes fruits, vegetables, whole grains, lean proteins, and healthy fats, and is associated with a lower risk of developing type 2 diabetes.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•DASH Diet: The Dietary Approaches to Stop Hypertension (DASH) diet focuses on reducing sodium intake and increasing consumption of nutrient-rich foods, benefiting blood pressure and blood sugar control.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,"•Exercise Benefits: Engaging in regular physical activity enhances insulin sensitivity and aids in weight management, both crucial for managing prediabetes.",<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,Maintain a Healthy Weight,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,•Weight Management: Achieving and maintaining a healthy weight through diet and exercise can significantly reduce the risk of progressing to type 2 diabetes.,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,•Blood Sugar Monitoring: Regularly check your blood sugar levels to understand how your diet and lifestyle affect your glucose control.,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,Implementing these dietary and lifestyle changes can effectively manage prediabetes and reduce the risk of developing type 2 diabetes.,<class 'str'>
5,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,2,,1,1,1,Consulting with a registered dietitian or healthcare provider can provide personalized guidance tailored to your individual needs.,<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,Managing prediabetes through diet is a crucial step in preventing or delaying the progression to type 2 diabetes.,<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,Increase Fiber Intake: High-fiber foods help regulate blood sugar levels.,<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Include plenty of vegetables, fruits, whole grains, and legumes in your diet.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Choose Whole Grains: Opt for whole-grain bread, brown rice, oatmeal, and whole-wheat pasta instead of refined grains like white bread and white rice.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Limit Sugary Foods and Beverages: Reduce consumption of sweets, sugary snacks, sodas, and fruit juices to prevent spikes in blood sugar.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Control Portion Sizes: Eating smaller, balanced meals throughout the day can help maintain steady blood sugar levels.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Include Lean Proteins: Foods like fish, poultry, tofu, and legumes can help you feel full longer and reduce cravings for high-sugar foods.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Healthy Fats: Incorporate sources of healthy fats such as avocados, nuts, seeds, and olive oil.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,These can improve heart health and help with satiety.,<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Limit Saturated and Trans Fats: Reduce intake of red meat, full-fat dairy products, and fried foods to lower the risk of heart disease.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,Stay Hydrated: Drink plenty of water throughout the day.,<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Sometimes thirst can be mistaken for hunger, leading to unnecessary snacking.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Monitor Carbohydrate Intake: Be mindful of the amount and type of carbohydrates you consume, focusing on complex carbs that have a lower impact on blood sugar.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,Regular Meal Timing: Eating at consistent times can help your body regulate blood sugar levels more effectively.,<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Moderate Alcohol Consumption: If you choose to drink alcohol, do so in moderation and always with food.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,"Remember, individual nutritional needs can vary.",<class 'str'>
6,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,2,,1,1,1,It may be helpful to consult a healthcare provider or a registered dietitian to create a personalized eating plan that fits your lifestyle and health goals.,<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"For prediabetes, managing blood sugar levels and preventing progression to diabetes is key.",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Focus on Low Glycemic Index (GI) Foods,<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Choose complex carbohydrates: Whole grains like oats, barley, and quinoa are preferable to refined carbs (e.g., white bread and pastries).",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Include more fiber: Fiber slows sugar absorption, which can stabilize blood sugar.",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"Foods high in fiber include vegetables, fruits (especially with the skin), beans, and whole grains.",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Limit Added Sugars and Refined Carbs,<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Avoid sugary drinks, candies, and processed snacks.",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Swap high-sugar foods for naturally sweet options like berries, which have less impact on blood sugar.",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,•Read food labels to keep added sugars to a minimum.,<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Include sources of healthy fats, such as avocados, nuts, seeds, and olive oil, which can help improve insulin sensitivity.",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Be mindful of portion sizes, as fats are calorie-dense.",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Eat Balanced Meals with Protein,<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Protein slows the absorption of carbohydrates, helping to stabilize blood sugar.",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"Include lean proteins such as chicken, fish, tofu, and legumes in meals.",<class 'str'>
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Try to balance meals by including protein, healthy fats, and fiber-rich carbs.",<class 'str'>
