ID,Index,Questions,Models,Users,Notes,Category,Stage,Stage_minor,Sentences
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Raw Vegetables with Hummus: Carrot sticks, cucumber, or bell pepper slices dipped in hummus."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Nuts and Seeds: A small handful of almonds, walnuts, or sunflower seeds."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Greek Yogurt: Unsweetened Greek yogurt topped with fresh berries and a sprinkle of nuts.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Fruit with Nut Butter: Apple slices with almond butter make a satisfying snack.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Drink plenty of water throughout the day.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Sometimes thirst is mistaken for hunger.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Herbal teas or water infused with fruit (like lemon or cucumber) can be refreshing options.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Limit Processed and Fried Foods
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Reduce consumption of processed meats (like sausages and deli meats), packaged snacks, and fried foods, as they can contribute to inflammation and weight gain."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Be Mindful of Starchy Vegetables
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Starchy vegetables like potatoes, corn, and peas should be eaten in moderation."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"When consumed, pair them with a source of protein or healthy fat to minimize blood sugar spikes."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Consider the Timing and Frequency of Meals
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Eating regular, balanced meals every 3-5 hours can help stabilize blood sugar levels."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Avoid skipping meals, as this can lead to overeating or blood sugar fluctuations."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Monitor Your Blood Sugar: If possible, keep an eye on how your diet impacts your blood sugar levels and adjust accordingly."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Stay Active: Combine dietary changes with regular physical activity, like walking, swimming, or strength training."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Work with a Dietitian: Consider consulting a registered dietitian who can personalize a meal plan based on your health needs, preferences, and lifestyle."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Would you like some sample meal ideas or recipes?
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Managing prediabetes with physical activity is a great way to help lower your blood sugar levels and reduce the risk of developing type 2 diabetes.
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Engage in Aerobic Exercise
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Aim for at least 150 minutes of moderate-intensity aerobic exercise per week.
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"This can be broken down into 30 minutes a day, 5 days a week."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Jogging or running (if you’re already active)
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"If 30 minutes feels overwhelming, start with 10-minute sessions and gradually increase."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Engage in strength training exercises at least twice a week.
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"This type of exercise helps build muscle, which can improve insulin sensitivity."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"Bodyweight exercises like squats, lunges, and push-ups"
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Include Flexibility and Balance Exercises
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,These exercises are important for overall wellness and can prevent injuries.
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"Stretching: Focus on major muscle groups, especially after workouts."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"Balance exercises: Consider activities like yoga, tai chi, or simple balance moves like standing on one foot."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Be More Active Throughout the Day
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Take the stairs instead of the elevator
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Walk or bike instead of driving short distances
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Stand up and stretch every hour if you work a desk job
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Do some light activity after meals (even a 10-minute walk can help lower blood sugar)
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Try High-Intensity Interval Training (HIIT)
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"If you are physically able and want a more efficient workout, HIIT involves short bursts of intense exercise followed by brief periods of rest."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Alternating between fast and slow walking
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Short sprints followed by walking recovery
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Stay Consistent and Listen to Your Body
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"Start slow if you’re new to exercise, and gradually increase the intensity and duration."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"Even if you can’t do long sessions, regular short activities add up."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"If you experience pain or discomfort, stop and consult a healthcare professional."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Monitor Your Blood Sugar Levels
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"Depending on the exercise intensity and your current blood sugar control, your levels may fluctuate."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Track how your body responds to different activities.
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"If you are taking medication or insulin, discuss with your doctor how exercise might impact your regimen."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Consult with a Healthcare Provider
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,"Before starting a new exercise routine, it’s a good idea to get guidance from your healthcare team, especially if you have other health concerns."
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Would you like specific workout plans tailored to your lifestyle or fitness level?
24,2,"I have prediabetes, what are your recommendations on physical activity / exercise  ?",ChatGpt 4o,3,,4,1,1,Let me know how I can assist further!
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Managing type 2 diabetes through diet can significantly help control blood sugar levels and reduce the risk of complications.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Focus on Low-Glycemic Index (GI) Foods
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,What: The glycemic index ranks foods based on their impact on blood sugar levels.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Low-GI foods cause a slower rise in blood sugar.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Examples: Whole grains (like oats, quinoa, brown rice), legumes (beans, lentils, chickpeas), non-starchy vegetables (broccoli, spinach, carrots), and most fruits (berries, apples, pears)."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Tip: Pair carbs with protein or healthy fats to further reduce blood sugar spikes.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"What: Protein helps stabilize blood sugar levels, keeps you feeling full, and supports muscle health."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Examples: Skinless chicken, turkey, fish, eggs, Greek yogurt, cottage cheese, tofu, and legumes."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Tip: Aim to include a portion of protein with each meal or snack.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"What: Healthy fats can improve heart health, which is especially important for people with diabetes."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Examples: Avocado, nuts (almonds, walnuts), seeds (chia, flaxseeds), olive oil, and fatty fish (like salmon and sardines)."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Tip: Add small portions of these fats to your meals—like a handful of nuts or a drizzle of olive oil on salad.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Limit Processed and Refined Carbohydrates
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,What: Refined carbs can cause quick spikes in blood sugar.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Examples to Avoid: White bread, white pasta, sugary drinks, candy, baked goods, and highly processed snack foods."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Tip: Opt for whole-grain or fiber-rich alternatives, like whole-grain bread, brown rice, or quinoa."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"What: Fiber slows down digestion, stabilizing blood sugar levels and promoting a feeling of fullness."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Examples: Whole grains, vegetables, fruits with skin, beans, and lentils."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Tip: Aim for at least 25-30 grams of fiber per day.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Vegetables are a great way to add bulk and fiber without many calories.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"What: Portion control is crucial for managing blood sugar, even when eating healthy foods."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Tip: Use smaller plates, measure portions (like half a cup of grains or 3 oz."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"of protein), and listen to hunger cues."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,This approach helps prevent overeating and supports weight management.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,What: Dehydration can lead to elevated blood sugar levels.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Tip: Drink water throughout the day and limit sugary or caffeinated drinks.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Herbal teas and flavored water with a splash of lemon or cucumber can add variety.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Limit Alcohol and Sugary Drinks
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Why: Alcohol and sugary drinks can disrupt blood sugar levels and increase calorie intake without much nutrition.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Tips: If you drink, limit it to moderate levels, and always pair it with food."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Choose water, sparkling water, or unsweetened tea instead of sodas and sweetened beverages."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Plan Your Carbohydrates Carefully
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"What: Carbohydrates impact blood sugar more than other nutrients, so timing and portioning them throughout the day is important."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Tip: Divide carbs evenly among meals to avoid large fluctuations in blood sugar.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Work with your doctor or a dietitian to determine the ideal daily carb intake for your needs.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,What: Eating at consistent times can help maintain steady blood sugar levels.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Tip: Try to avoid skipping meals, as this can lead to overeating later in the day."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Regular eating can also prevent blood sugar dips.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Breakfast: Greek yogurt with berries, a handful of nuts, and a sprinkle of chia seeds."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Lunch: Salad with leafy greens, grilled chicken breast, a small portion of quinoa, and a drizzle of olive oil with lemon."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Snack: Carrot sticks and hummus or a small apple with almond butter.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"Dinner: Grilled salmon, roasted vegetables, and a side of steamed broccoli."
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Evening Snack (if needed): A handful of walnuts or a small piece of dark chocolate.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Monitor Blood Sugar Levels: Check your blood sugar regularly to understand how different foods affect you.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Seek Professional Guidance: A registered dietitian can provide personalized guidance to optimize your diet based on your unique needs and preferences.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,Exercise Regularly: Physical activity complements your diet by helping control blood sugar levels and improving insulin sensitivity.
36,3,"I have type 2 diabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,2,2,"This plan is balanced, realistic, and supports long-term health and blood sugar control."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"For managing type 2 diabetes, physical activity is an excellent strategy to help control blood sugar levels, improve insulin sensitivity, and enhance overall health."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Consult with Your Healthcare Provider
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Before starting a new exercise regimen, it’s essential to discuss it with your doctor, especially if you’re on medications or have other health conditions."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,They can help identify any limitations and offer specific guidance based on your health.
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Start with Moderate-Intensity Aerobic Exercise
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Aim for at least 150 minutes per week of moderate-intensity aerobic activity.
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"This can be broken down into 30 minutes, five days a week."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"These activities help to lower blood sugar levels and improve cardiovascular health, both crucial for managing diabetes."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Adding two to three days a week of resistance or strength training exercises is highly beneficial.
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Resistance training helps build muscle, which can improve your body's ability to use insulin and control blood glucose."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Using free weights or resistance bands
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Bodyweight exercises like squats, lunges, push-ups, and planks"
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Weight machines at the gym
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Aim for 8–12 repetitions per exercise and gradually increase weight or resistance over time.
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Don’t Forget Flexibility and Balance Exercises
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Stretching and balance exercises should also be part of your routine.
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"These help with joint mobility, reduce injury risk, and improve daily functioning."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Activities like yoga and tai chi are particularly beneficial for both flexibility and balance and can also reduce stress.
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Stay Active Throughout the Day
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Besides structured exercise, reduce sedentary time by moving regularly."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Prolonged sitting can cause blood sugar spikes, so try to get up every hour and do something active for a few minutes."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"This can include light walking, climbing stairs, or doing a few stretches."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Watch Your Blood Sugar Levels
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"If you take insulin or other medications that lower blood sugar, monitor your blood glucose levels before, during, and after exercise, especially when trying a new type of activity."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Carry fast-acting carbs (like glucose tablets or juice) to treat low blood sugar (hypoglycemia) if it occurs.
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Keeping well-hydrated is particularly important for those with diabetes, as dehydration can affect blood glucose levels."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Listen to Your Body and Pace Yourself
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Start slowly, especially if you're new to exercise, and gradually increase intensity and duration."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Overdoing it can lead to injuries and may affect blood sugar levels.
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"If you feel lightheaded, dizzy, or overly fatigued, stop and rest."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Find activities you enjoy to help make exercise a sustainable, enjoyable part of your routine."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Whether it’s gardening, dancing, or group classes, enjoyment can significantly improve adherence and results."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Set Realistic, Gradual Goals"
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"Setting small, achievable goals, like taking a 15-minute walk after dinner, can make exercise less daunting."
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,Gradually build up from there.
48,4,"I have type 2 diabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,3,,4,2,2,"By incorporating these types of exercises, you can create a balanced approach that improves blood sugar control and supports your overall health goals with type 2 diabetes."
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,Managing both type 2 diabetes and heart disease through diet can significantly impact your overall health and help control both conditions.
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,Here’s a general approach to crafting a diet that supports heart health while keeping blood sugar levels stable.
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,"Focus on Whole, Unprocessed Foods"
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,"Vegetables and Fruits: Aim for a variety, especially non-starchy vegetables (leafy greens, broccoli, peppers, tomatoes, and zucchini)."
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,"Fruits can be beneficial, but select those with a low glycemic index (like berries, apples, and pears) and eat them in moderation."
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,Whole Grains: Choose whole grains over refined grains (like white bread or pasta).
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,"Options like quinoa, barley, brown rice, and oats provide fiber, which helps with blood sugar control and may improve heart health."
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,"Lean Proteins: Opt for skinless poultry, fish, tofu, and legumes."
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,"Fish high in omega-3 fatty acids (like salmon, mackerel, and sardines) are particularly heart-healthy."
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,"Healthy Fats: Use unsaturated fats, like olive oil, avocados, nuts, and seeds, which are beneficial for heart health."
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,"Limit saturated fats (found in red meat, butter, and high-fat dairy products) and avoid trans fats."
60,5,"I have type 2 diabetes and was diagnosed with heart disease, what are your recommendations on diet?",ChatGpt 4o,3,,1,3,3,"Focus on carbs with a low glycemic index (GI), which cause slower spikes in blood sugar."
